"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000134775",2.651,0.549,28.692,0.165,23.158,10.611,26.885,1.06,8.352,9.286,0.823,7.726,8.204,2.011,6.5,0.407,10.167,6.35,7.167,3.817,0.915,1.713,72.338,0.855,4.026,1.247,7.152,63.127,72.3,2.244,3.272,2.157,1.209
"ENSG00000134779",67.785,86.738,53.403,67.056,121.114,79.387,102.847,71.612,89.146,89.068,46.224,71.545,71.855,92.964,60.656,14.183,355.18,31.043,26.084,25.149,23.762,42.908,16.135,30.047,45.142,16.659,8.059,43.083,17.956,22.879,31.836,26.827,18.506
"ENSG00000134780",4.956,4.685,1.271,1.953,3.789,4.513,3.765,3.168,4.746,5.498,0.13,27.678,17.673,0.174,1.036,0.229,7.533,5.314,5.125,8.54,10.728,1.34,3.127,4.209,1.033,11.026,1.463,4.244,2,6.199,7.202,0.505,1.496
"ENSG00000134802",20.142,14.974,1.6,1.816,4.527,5.664,4.906,6.068,9.919,22.384,19.654,11.339,12.116,49.082,14.032,39.894,12.262,4.413,15.597,4.255,3.929,9.309,7.357,33.565,11.986,13.988,3.124,10.753,10.411,7.788,7.718,12.804,14.796
"ENSG00000134809",60.209,71.836,21.203,20.632,27.327,29.962,20.869,21.171,54.858,23.977,25.091,18.913,21.08,26.078,53.234,102.515,28.103,37.558,25.017,13.305,11.795,60.938,52.662,31.48,19.998,14.415,52.492,34.728,81.553,31.36,48.157,30.332,36.938
"ENSG00000134812",0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0.096,0.215,0.056,628.329,0.013,0.011,0,0.008,0.006,0.019,0.005,0.171,1.276,0.04,0.005
"ENSG00000134815",7.53,10.8,5.157,2.739,4.315,6.502,8.221,4.477,8.315,15.91,5.512,9.21,9.745,10.84,1.054,2.204,11.169,6.806,8.558,5.037,5.316,6.106,6.169,8.651,8.318,19.269,9.302,3.358,6.723,5.959,5.757,8.026,11.445
"ENSG00000134817",0.226,12.949,1.45,0,1.189,16.842,4.33,140.364,19.398,0.066,0,0.004,0.003,0.002,0,15.145,1.003,17.902,1.345,13.899,15.506,1.475,5.667,0.454,1.947,0.257,0.844,2.129,6.335,2.068,3.178,1.173,44.315
"ENSG00000134824",242.722,110.044,99.831,226.608,109.472,173.741,56.713,100.484,105.567,112.326,27,134.047,107.447,89.532,21.405,4.875,58.498,34.57,5.349,4.407,1.652,6.51,8.656,20.209,6.164,3.819,0.647,8.536,8.021,12.1,41.827,3.24,5.696
"ENSG00000134825",41.299,36.606,25.674,20.343,32.669,37.012,33.744,37.049,43.41,36.608,17.334,15.501,17.924,17.62,38.545,51.887,35.468,39.25,17.147,21.86,23.587,38.561,16.965,39.24,29.576,22.196,18.053,24.378,35.796,17.287,29.271,21.431,20.213
"ENSG00000134827",0.004,0.01,0.013,0.093,0,0,0,0.093,0,0,0.032,0,0,0.13,0,0.271,0.018,0,7.348,0.176,0.035,57.738,0.056,0.474,0,0.132,0.003,0.014,0.036,1.212,1.823,1.336,0.929
"ENSG00000134830",0.314,0.201,0.007,0.004,0,0,0.009,0.211,0.062,0.015,0.225,0,0,0.007,1.395,2.361,0.142,0.582,1.965,0.168,0.088,1.372,0.488,1.241,0.495,0.442,0.102,0.97,0.531,0.75,1.259,0.998,3.569
"ENSG00000134851",28.624,19.21,13.61,29.13,9.036,9.196,10.609,15.606,15.82,23.173,17.729,8.3,10.606,17.427,16.442,5.466,5.582,27.503,27.627,11.526,9.018,13.422,17.318,60.496,11.51,18.504,10.127,15.018,21.887,12.351,16.781,42.133,23.222
"ENSG00000134852",6.232,6.338,3.802,6.203,5.769,4.192,5.315,5.559,5.459,7.211,3.843,5.3,6.396,15.833,4.98,1.93,3.79,4.099,3.699,6.616,6.685,5.348,7.813,1.61,2.879,1.741,8.875,3.038,2.042,3.029,3.613,1.101,2.218
"ENSG00000134853",0.587,1.425,8.377,188.343,0.348,2.907,2.681,25.82,1.696,0.697,0.029,103.991,55.422,0.004,14.802,7.154,9.046,7.701,48.309,40.178,33.031,19.559,8.121,5.955,164.832,2.776,2.765,10.918,8.376,14.066,8.84,4.358,14.066
"ENSG00000134864",0.556,0.439,1.41,1.669,1.36,1.76,2.181,1.659,1.128,0.586,2.006,0.998,0.994,4.492,2.108,4.617,0.479,0.9,1.126,3.832,4.449,3.553,0.687,1.109,1.48,2.181,0.663,0.407,0.916,2.627,3.677,2.175,3.288
"ENSG00000134871",55.11,13.13,290.163,863.558,49.894,93.788,50.915,235.611,35.847,44.996,0,124.275,80.084,36.807,79.513,9.535,9.843,6.035,138.908,71.269,55.251,28.538,107.026,85.391,95.682,32.452,16.316,53.51,136.472,47.628,48.086,26.665,54.537
"ENSG00000134873",22.864,7.688,0.752,0.001,12.295,1.449,3.044,0.911,4.857,11.93,7.262,3.757,2.034,0,0.391,2.361,1.146,17.727,0.826,0.519,0.156,0.118,0.049,1.167,0.782,54.708,0.023,0.143,0.196,0.064,0.227,0.358,0.027
"ENSG00000134874",15.138,12.126,5.857,18.829,28.78,16.123,16.324,12.742,11.64,7.438,1.058,12.673,13.319,0.95,6.611,0.54,8.371,15.014,4.543,4.804,2.279,8.97,0.678,1.342,12.607,11.03,0.404,1.558,1.427,1.491,1.45,2.031,1.24
"ENSG00000134882",25.343,13.183,18.036,12.859,23.378,18.758,20.745,20.755,19.335,24.898,22.806,11.543,13.617,17.639,20.444,18.762,10.191,12.552,25.665,17.24,20.935,23.41,18.744,22.794,22.701,18.789,25.439,17.624,22.767,23.151,30.665,25.808,24.486
"ENSG00000134884",84.57,50.686,46.434,33.547,144.743,72.071,100.863,72.769,52.475,38.588,160.471,26.257,43.592,30.77,19.608,18.628,37.695,98.234,67.025,83.398,70.489,17.241,22.559,122.094,51.985,72.631,22.072,35.225,52.282,34.156,30.016,238.96,133.269
"ENSG00000134897",3.472,3.654,5.934,8.671,6.578,5.623,5.28,7.047,3.267,2.013,30.642,6.689,7.329,12.625,6.257,9.782,4.637,8.732,6.95,14.175,14.94,10.775,7.865,8.55,8.371,14.699,13.392,14.829,9.795,4.884,7.803,12.286,8.639
"ENSG00000134899",5.948,6.074,9.195,12.469,6.931,9.416,8.421,11.658,6.721,5.12,30.691,8.36,10.178,15.62,9.068,11.244,13.261,16.509,12.416,15.626,17.85,11.394,7.221,15.689,15.022,16.886,11.757,9.245,7.575,13.085,12.752,28.332,14.898
"ENSG00000134900",25.464,27.102,15.873,16.157,14.826,21.741,23.134,22.287,29.101,21.433,49.535,11.664,13.296,22.504,10.684,11.376,14.209,8.526,10.823,16.165,16.133,11.107,10.073,15.822,14.797,10.521,17.864,11.148,10.851,11.561,10.3,24.492,15.32
"ENSG00000134901",23.92,13.385,13.609,16.724,16.194,15.944,12.546,18.568,14.349,14.375,12.944,4.951,6.575,5.945,2.13,3.618,3.717,1.142,3.595,8.603,7.553,2.397,3.764,1.61,8.015,1.174,1.327,3.336,4.49,1.972,3.154,1.945,1.342
"ENSG00000134905",4.689,3.853,4.036,6.634,3.829,3.476,4.948,2.584,3.823,4.731,7.672,3.349,3.985,7.558,5.173,4.365,5.421,5.929,8.958,9.958,12.081,14.1,8.568,15.251,6.581,17.6,9.517,6.888,10.025,8.602,9.896,11.807,14.64
